registro;timestamp;humedad_pct;humedad_raw;estado_suelo;temperatura_c;notas
1;T+00:00:01;30;3022;SECO;33.75;
2;T+00:00:05;0;4095;SECO;33.69;
3;T+00:00:08;0;4095;SECO;33.75;
4;T+00:00:11;0;4095;SECO;33.69;
5;T+00:00:14;0;4095;SECO;33.56;
6;T+00:00:17;0;4095;SECO;33.63;
7;T+00:00:20;0;4095;SECO;33.56;
8;T+00:00:23;0;4075;SECO;33.44;
9;T+00:00:26;0;4080;SECO;33.44;
10;T+00:00:29;1;4028;SECO;33.25;
11;T+00:00:32;2;4022;SECO;33.19;
12;T+00:00:35;2;4018;SECO;33.19;
13;T+00:00:38;2;4014;SECO;33.13;
14;T+00:00:41;2;4006;SECO;32.94;
15;T+00:00:44;3;3985;SECO;33.00;
16;T+00:00:47;2;4003;SECO;32.94;
17;T+00:00:50;2;4017;SECO;32.94;
18;T+00:00:53;2;4018;SECO;32.75;
19;T+00:00:56;2;4023;SECO;32.75;
20;T+00:00:59;2;4022;SECO;32.63;
21;T+00:01:02;2;4020;SECO;32.56;
22;T+00:01:05;1;4026;SECO;32.63;
23;T+00:00:01;0;4095;SECO;32.38;
24;T+00:05:01;0;4095;SECO;30.31;
25;T+00:10:01;0;4095;SECO;30.12;
26;T+00:15:01;0;4095;SECO;30.25;
27;T+00:20:01;0;4095;SECO;30.19;
28;T+00:25:01;0;4095;SECO;29.94;
29;T+00:00:01;0;4095;SECO;30.37;
30;T+00:00:01;0;4095;SECO;NA;
31;T+00:00:01;0;4095;SECO;31.06;
32;T+00:00:01;0;4095;SECO;31.25;
33;T+00:00:01;0;4095;SECO;31.12;
34;T+00:00:01;0;4095;SECO;31.25;
35;T+00:00:01;0;4095;SECO;31.25;
36;T+00:05:01;100;0;HUMEDO;28.69;
37;T+00:10:01;100;0;HUMEDO;28.62;
38;T+00:15:01;100;0;HUMEDO;28.56;
39;T+00:20:01;100;0;HUMEDO;28.62;
40;T+00:25:01;100;0;HUMEDO;28.50;
41;T+00:30:01;100;0;HUMEDO;28.44;
42;T+00:35:01;100;0;HUMEDO;28.56;
43;T+00:40:01;100;0;HUMEDO;28.62;
44;T+00:45:01;100;0;HUMEDO;28.56;
45;T+00:50:01;100;0;HUMEDO;28.75;
46;T+00:55:01;100;0;HUMEDO;28.69;
47;T+01:00:01;100;0;HUMEDO;28.62;
48;T+01:05:01;100;0;HUMEDO;28.56;
49;T+01:10:01;100;0;HUMEDO;28.69;
50;T+01:15:01;100;0;HUMEDO;28.75;
51;T+01:20:01;100;0;HUMEDO;28.69;
52;T+01:25:01;100;0;HUMEDO;28.75;
53;T+01:30:01;100;0;HUMEDO;28.75;
54;T+01:35:01;100;0;HUMEDO;28.81;
55;T+01:40:01;100;0;HUMEDO;28.75;
56;T+01:45:01;100;0;HUMEDO;28.81;
57;T+01:50:01;100;0;HUMEDO;28.81;
58;T+01:55:01;100;0;HUMEDO;29.00;
59;T+02:00:01;100;0;HUMEDO;29.06;
60;T+02:05:01;100;0;HUMEDO;29.12;
61;T+02:10:01;100;0;HUMEDO;29.06;
62;T+02:15:01;100;0;HUMEDO;29.25;
63;T+02:20:01;100;0;HUMEDO;29.12;
